,Title,Subtitle,Realise Time
162,"Takumi-kun Series 5: That, Sunny Blue Sky (2011)",SUB,2024-02-01 22:28:49
163,Takumi-kun Series 4: Pure (2010),SUB,2024-02-01 22:27:40
164,Takumi-kun Series 3: The Beauty of Detail (2010),SUB,2024-02-01 22:26:57
165,Takumi-kun Series 2: Rainbow Colored Glass (2009),SUB,2024-02-01 22:26:32
166,No More Bets (2023),SUB,2024-02-01 16:48:31
167,Twilight Cinema Blues (2023),SUB,2024-01-30 23:23:49
168,One and Only (2023),SUB,2024-01-28 04:56:06
169,Swimming in the Dark (2022),SUB,2024-01-28 03:42:33
170,Bursting Point (2023),SUB,2024-01-26 16:55:02
171,Badland Hunters (2024),SUB,2024-01-26 06:06:00
172,The Dream Songs (2022),SUB,2024-01-25 23:11:41
173,Legend of the Mermaid: Human Love (2024),SUB,2024-01-24 22:43:41
174,Desperado (2024),SUB,2024-01-24 18:20:30
175,In the Head (2024),RAW,2024-01-24 17:33:23
176,Ichikei's Crow: The Movie (2023),RAW,2024-01-24 00:36:56
177,Seven Killings (2023),SUB,2024-01-22 00:42:02
178,The Dry Spell (2023),SUB,2024-01-21 08:06:19
179,Oresama (2004),SUB,2024-01-21 06:27:23
180,Kamen Rider Geats: 4 Aces and the Black Fox (2023),SUB,2024-01-21 06:13:57
181,Shinnyushatachi no Bansan (2024),SUB,2024-01-19 22:19:17
182,Tokyo Revengers 2: Bloody Halloween - Destiny (2023),SUB,2024-01-19 22:18:57
183,Border 2: Shokuzai,SUB,2024-01-19 19:54:43
184,Your Home is My Business SP,SUB,2024-01-19 19:53:43
185,I Am Here (2023),SUB,2024-01-18 13:28:00
186,Youth (2023),SUB,2024-01-17 06:52:22
187,Dragon Hunting King (2024),SUB,2024-01-17 06:26:10
188,River (2023),SUB,2024-01-16 18:31:56
189,Man in Black (2023),SUB,2024-01-16 14:29:44
190,Crypto Storm (2024),SUB,2024-01-16 14:29:25
191,Ninja vs Shark (2023),SUB,2024-01-15 18:00:32
192,Immersion (2023),SUB,2024-01-15 13:14:08
193,How to Find Happiness (2022),SUB,2024-01-15 00:41:37
194,Ice Cream Fever (2023),SUB,2024-01-14 17:44:15
195,Hopeless (2023),SUB,2024-01-14 16:15:05
196,Across the Furious Sea (2023),SUB,2024-01-13 06:58:33
197,Norwegian Wood (2010),SUB,2024-01-12 21:14:27
198,Mad Cats (2023),SUB,2024-01-11 22:29:28
199,Chang Le Zhen Gui Shi (2024),SUB,2024-01-11 14:51:03
200,G-Men (2023),RAW,2024-01-10 18:14:14
201,After Sundown (2023),SUB,2024-01-10 13:49:47
202,Kingdom 3: Flame of Destiny (2023),SUB,2024-01-09 18:13:56
203,Rebound (2023),SUB,2024-01-09 14:22:14
204,Super Family (2023),SUB,2024-01-08 14:56:34
205,Lost in the Stars (2023),SUB,2024-01-08 14:55:55
206,"One Second Ahead, One Second Behind (2023)",SUB,2024-01-07 17:59:13
207, The Battle for Justice (2023),SUB,2024-01-06 02:29:24
208,Monster (2023),SUB,2024-01-06 00:16:02
209,Sagrada Reset: Part II,SUB,2024-01-05 17:16:23
210,The Exam (1999),RAW,2024-01-05 00:43:15
211,Back To The Tomorrow (2023),RAW,2024-01-04 23:18:53
212,Live Stream (2023),SUB,2024-01-04 18:29:50
213,The Wild (2023),SUB,2024-01-04 18:20:29
214,easy money (2024),RAW,2024-01-04 17:58:13
215,Be My Family (2023),SUB,2024-01-03 14:58:20
216,Under the Light (2023),SUB,2024-01-03 14:57:55
217,New Normal (2022),RAW,2024-01-03 00:44:46
218,Unparalleled Yanshi: Gracious Master of Emei (2018),SUB,2024-01-02 23:39:51
219,The Hole (1997),SUB,2024-01-02 23:24:39
220,World's Greatest Dad (2023),RAW,2024-01-02 16:13:47
221,The Adventures (2023),SUB,2024-01-02 16:12:59
222,Who's the Suspect (2023),SUB,2024-01-02 16:12:09
223,The Volunteers: To the War (2023),SUB,2024-01-01 16:08:47
224,Moscow Mission (2023),SUB,2024-01-01 14:47:36
225,Toxic Parents (2023),SUB,2023-12-31 19:25:02
226,The Abandoned (2023),SUB,2023-12-31 06:01:34
227,Journey to the West (2023),SUB,2023-12-29 02:05:53
228,The Forbidden Play (2023),SUB,2023-12-28 18:50:10
229,Bad Lands (2023),SUB,2023-12-28 18:20:03
230,Green Night (2023),SUB,2023-12-28 14:10:33
231,Cobweb (2023),SUB,2023-12-28 13:26:39
232,The Serpent's Song (2017),SUB,2023-12-28 13:26:16
233,Mondo (2023),SUB,2023-12-28 05:36:21
234,Miss Shampoo (2023),SUB,2023-12-28 05:35:43
235,Unforgivable (2023),RAW,2023-12-27 05:22:07
236,Persona: Sulli (2023),SUB,2023-12-26 23:44:14
237,Sing in Love (2022),SUB,2023-12-26 17:07:09
238,Its Remains (2023),SUB,2023-12-24 17:55:49
239,Hero (2022) (KR),SUB,2023-12-22 19:58:59
240,Serve The People (2022),SUB,2023-12-22 19:52:31
241,Next Sohee (2022),SUB,2023-12-22 13:55:17
242,Big Sleep (2022),RAW,2023-12-22 06:38:11
243,Fights Break Sphere 2 (2023),SUB,2023-12-21 17:08:29
244,Loan Boy (2023),RAW,2023-12-21 17:08:04
245,Tales From The Occult: Body and Soul (2023),SUB,2023-12-20 18:26:06
246,Havana (2023),SUB,2023-12-20 18:25:53
247,Perfect Days (2023),SUB,2023-12-20 17:19:24
248,The Rope Curse 3 (2023),SUB,2023-12-18 05:04:23
249,Takumi-kun Series 1: And The Spring Breeze Whispers (2007),SUB,2023-12-18 03:29:18
250,Hello Ghost! (2023),SUB,2023-12-17 19:51:56
251,Don't Call It Mystery: The Movie (2023),SUB,2023-12-17 06:42:57
252,Long Distance (2023),RAW,2023-12-15 17:18:14
253,Our Secret Diary (2023),SUB,2023-12-14 22:04:59
254,Downfall (2023),SUB,2023-12-14 18:09:15
255,Love Life (2022),SUB,2023-12-14 17:37:29
256,Immortal-Slaying Knife (2023),SUB,2023-12-14 14:22:04
257, In Our Day (2023),SUB,2023-12-14 14:20:29
258,Tokyo MER: Mobile Emergency Room: The Movie (2023),RAW,2023-12-13 18:07:20
259,A Light Never Goes Out (2022),SUB,2023-12-13 15:53:29
260,The Man's Secret (2023),SUB,2023-12-13 14:58:26
261,Eye for an Eye 1 (2022),SUB,2023-12-13 14:23:56
262,Sleep (2023),SUB,2023-12-07 19:40:09
263,Weird Forest (2023),SUB,2023-12-07 07:17:19
264,Black Fox: Ultimate Rescue (2022),SUB,2023-12-07 07:14:57
265,Love Reset (2023),SUB,2023-12-06 22:25:24
266,Dead Silence (2023),SUB,2023-12-06 22:24:03
267,Ten Tigers of Guangdong: Invincible Iron Fist (2022),SUB,2023-12-06 22:23:53
268,Hail to Hell (2023),SUB,2023-12-06 19:31:14
269,The Preparation,SUB,2023-12-06 17:46:49
270,Karma (2015),SUB,2023-12-06 16:02:24
271,Doi Boy (2023),SUB,2023-12-06 07:26:25
272,Godzilla (1954),SUB,2023-12-06 05:45:25
273,She's From Another Planet (2023),RAW,2023-12-05 18:47:19
274,Devils (2023),SUB,2023-12-05 18:45:26
275,The Shadowless Tower (2023),SUB,2023-12-04 17:59:40
276,Never Say Never (2023),SUB,2023-12-03 14:09:34
277,3 Idiot Heroes (2023),SUB,2023-12-02 15:09:41
278,Quick Counterattack (2023),SUB,2023-12-01 22:53:07
279,Senritsu Kaiki World Kowasugi! (2023),RAW,2023-12-01 18:22:22
280,Red Shoes (2023),SUB,2023-12-01 18:22:07
281,Visitors (Complete Edition) (2023),SUB,2023-11-30 17:03:07
282,Flowers of Mold (2023),RAW,2023-11-30 02:53:07
283,Hard Days (2023),SUB,2023-11-30 02:52:19
284,The Narrow Road (2022),SUB,2023-11-28 19:16:50
285,Ring Wandering (2022),SUB,2023-11-28 19:06:42
286,Welcome to Bongtaeri (2023),RAW,2023-11-27 07:38:34
287,The Boys (2022),RAW,2023-11-26 23:22:57
288,Ginga Tetsudo no Chichi (2023),SUB,2023-11-26 18:18:59
289,Open The Door (2023),RAW,2023-11-26 14:45:41
290,Honey Sweet (2023),SUB,2023-11-23 17:41:16
291,Dr. Cheon and Lost Talisman (2023),SUB,2023-11-23 17:40:55
292,Family (2023),SUB,2023-11-23 13:36:26
293,Brave Citizen (2023),SUB,2023-11-23 07:13:36
294,Fights Break Sphere (2023),SUB,2023-11-21 22:22:56
295,Imprisoned Ⅱ : There is No Escape from Fate (2023),RAW,2023-11-19 16:59:43
296,Hearty Paws 1 (2006),SUB,2023-11-19 13:05:56
297,Do You See Seoul? (2008),SUB,2023-11-19 13:05:41
298,#Manhole (2023),SUB,2023-11-17 19:52:11
299,Believer 2 (2023),SUB,2023-11-17 00:54:08
300,A Man of Reason (2023),SUB,2023-11-16 18:16:12
301,The New Employee: The Movie (2023),SUB,2023-11-16 18:15:56
302,Snaker in Golden (2023),SUB,2023-11-16 13:01:10
303,A Tour Guide (2023),RAW,2023-11-16 08:18:44
304,In Love and Deep Water (2023),SUB,2023-11-16 04:12:08
305,Where to Go (2018),SUB,2023-11-15 22:27:46
306,Flare (2014),RAW,2023-11-15 22:27:22
307,Boston 1947 (2023),SUB,2023-11-15 18:34:20
308,Congrats My Ex! (2023),SUB,2023-11-15 13:57:40
309,Aki wa Haru to Gohan wo Tabetai (2023),SUB,2023-11-15 00:28:16
310,Kazuo Umezu's Horror Theater: Bug's House (2005),SUB,2023-11-14 13:10:57
311,Tainted Love (2023),SUB,2023-11-14 07:29:49
312,Fight Through The Yin-Yang House (2023),SUB,2023-11-14 07:29:39
313,The X-Treme Riders (2023),SUB,2023-11-13 13:50:36
314,Happy Merry Ending (Movie) (2023),SUB,2023-11-13 13:49:37
315,New Love Story in New York (2004),RAW,2023-11-12 17:47:30
316,Yudo (2023),SUB,2023-11-10 00:06:24
317,A Lonely Island in the Distant Sea (2021),RAW,2023-11-09 07:19:02
318,Godspeed (2023),SUB,2023-11-08 23:05:05
319,The Legend of the Condor Heroes: The Dragon Tamer (2021),SUB,2023-11-08 14:32:21
320,Broken Commandment (2022),RAW,2023-11-07 23:58:55
321,Someone You Loved (2023),SUB,2023-11-05 18:05:42
322,Don't Tell Papa (2004),SUB,2023-11-05 10:02:58
323,Bad Daddy (2018),SUB,2023-11-04 01:51:03
324,Eye of the Storm (2023),SUB,2023-11-03 19:02:12
325,Where Would You Like to Go? (2023),SUB,2023-11-02 23:21:40
326,My Precious (2023),SUB,2023-11-02 20:53:40
327,Knuckle Girl (2023),SUB,2023-11-01 18:58:39
328,The Procurator (2023),SUB,2023-11-01 17:10:46
329,In Dream (2023),SUB,2023-10-30 02:07:26
330,Girl Wrighter (2023),RAW,2023-10-27 07:25:13
331,Doom Doom (2021),RAW,2023-10-27 07:24:22
332,Lovers' Kiss (2003),RAW,2023-10-27 07:23:36
333,Target (2023),SUB,2023-10-26 07:51:40
334,The Contact (1997),SUB,2023-10-26 00:39:39
335,Long Live Love (2023),SUB,2023-10-25 20:34:23
336,Operation Mekong (2016),SUB,2023-10-25 18:27:58
337,The Turning Road (2017),SUB,2023-10-25 18:23:37
338,The Running Actress (2017),RAW,2023-10-25 18:21:06
339,Raid on the Lethal Zone (2023),SUB,2023-10-23 06:33:58
340,City of Fathers (2009),SUB,2023-10-19 17:53:21
341,Tomorrow x Together: Our Lost Summer (2023),SUB,2023-10-19 17:52:40
342,Ghost Rookie (2023),SUB,2023-10-18 14:49:43
343,Blue Again (2022),SUB,2023-10-17 18:40:35
344,Shylock's Children (2023),RAW,2023-10-16 07:49:09
345,Everything is Unknown (2023),SUB,2023-10-16 01:26:54
346,Smugglers (2023),SUB,2023-10-15 19:55:19
347,Water Flowing to the Sea (2023),SUB,2023-10-15 18:44:06
348,Once Upon a Star (2023),SUB,2023-10-11 06:01:30
349,The Breaking Ice (2023),SUB,2023-10-09 19:35:07
350,The Limit (2022),RAW,2023-10-09 07:10:16
351,Kamen Rider: Beyond Generations (2021),SUB,2023-10-09 06:59:28
352,For The New Emperor (2020),SUB,2023-10-09 01:25:09
353,Flaming Cloud (2023),SUB,2023-10-08 05:57:28
354,As Long As We Both Shall Live (2023),SUB,2023-10-06 19:46:21
355,Ballerina (2023),SUB,2023-10-06 05:43:15
356,Kitty the Killer (2023),SUB,2023-10-05 18:28:33
357,Baby Assassins 2 Babies (2023),SUB,2023-10-04 18:34:28
358,We Make Antiques! 3 (2023),SUB,2023-10-02 20:54:53
359,The Book and the Sword (2023),SUB,2023-10-02 20:54:31
360,This Child Is Evil (2022),SUB,2023-09-27 23:13:08
361,Creation of the Gods I: Kingdom of Storms (2023),SUB,2023-09-27 19:47:27
362,Concrete Utopia (2023),SUB,2023-09-27 19:44:04
363,Windmill (2023),RAW,2023-09-27 18:41:07
364,Conjuring Curse (2023),SUB,2023-09-26 23:19:37
365,Our Dating Sim Movie (2023),SUB,2023-09-26 19:50:37
366,The Thousand Faces of Feijia (2023),SUB,2023-09-22 08:07:46
367,Fantasy Magician 2 (2023),SUB,2023-09-22 08:04:52
368,Dragon Quest: The Soul Coffin (2023),SUB,2023-09-22 08:04:34
369,Dragon Sword: Ancient Battlefield (2023),SUB,2023-09-22 08:04:24
370,Liao Zhai Fox Spirit: Spoony Woman (2023),SUB,2023-09-22 08:02:26
371,Tale of the Mural (2023),SUB,2023-09-22 07:59:44
372,Soul of Light (2023),SUB,2023-09-22 07:59:30
373,Wedding High (2022),RAW,2023-09-19 19:56:46
374,My Tempo (2022),SUB,2023-09-19 19:12:11
375,Thunder Monk (2023),SUB,2023-09-19 17:36:06
376,Stone Skipping (2020),SUB,2023-09-18 21:42:03
377,League of Gods: Zhou Destruction (2023),SUB,2023-09-18 21:41:37
378,Ransomed (2023),SUB,2023-09-18 21:41:18
379,The Warlords (2007),RAW,2023-09-17 07:40:06
380,Legend of Hunter 2: Forest of Reincarnation (2023),SUB,2023-09-17 07:21:27
381,Like a Virgin (2006),SUB,2023-09-15 04:21:59
382,Tales of Nobody (2023),RAW,2023-09-15 04:21:13
383,On the Edge (2022),RAW,2023-09-15 00:56:36
384,Death Notice (2023),RAW,2023-09-14 18:51:39
385,Once Upon a Crime (2023),SUB,2023-09-14 02:29:17
386,Someday or One Day: The Movie (2022),SUB,2023-09-14 00:11:29
387,My Beautiful Man: Eternal (2023),SUB,2023-09-12 08:25:05
388,The River (2023),SUB,2023-09-10 15:33:30
389,Count (2023),SUB,2023-09-10 15:33:09
390,Invisible (2023),SUB,2023-09-08 19:16:58
391,Awake (2022),SUB,2023-09-08 18:22:40
392,Tricksters (2023),SUB,2023-09-07 19:22:46
393,Nemesis: The Mystery of the Golden Spiral (2023),RAW,2023-09-05 23:56:57
394,The Comeback (2023),SUB,2023-09-05 23:56:30
395,Super Daddy (2023),SUB,2023-09-05 23:56:17
396,Lop Nor Tomb (2023),SUB,2023-09-05 00:40:31
397,North East Police Story 2 (2023),SUB,2023-09-04 00:49:21
398,White Fox Love Affair (2023),SUB,2023-09-03 19:50:13
399,Gate,SUB,2023-09-02 05:04:23
400,The Moon (2023),SUB,2023-08-30 18:21:20
401,Lamb Game (2023),SUB,2023-08-28 19:31:45
402,Born to Fly (2023),SUB,2023-08-27 20:01:00
403,Do Unto Others (2023),SUB,2023-08-27 19:57:57
404,Pure White,SUB,2023-08-24 20:43:24
405,See Hear Love: Mienakute mo Kikoenakute mo Aishiteru (2023),SUB,2023-08-23 20:35:58
406,The Hill of Secrets (2022),RAW,2023-08-23 19:30:53
407,My Worst Neighbor (2023),SUB,2023-08-22 18:59:05
408,Love Never Ends (2023),SUB,2023-08-21 00:09:00
409,Ping-Pong: The Triumph (2023),SUB,2023-08-21 00:08:48
410,Detective Dee and The Dragon of Fire (2023),SUB,2023-08-20 07:06:26
411,The Devildom Elephant Man (2023),SUB,2023-08-20 07:06:10
412,Streamer (2023),SUB,2023-08-20 07:05:47
413,The Girl of Destiny (2023),SUB,2023-08-19 08:43:16
414,Sayounara Konbanwa (2022),SUB,2023-08-19 08:22:50
415,Mondays (2022),SUB,2023-08-16 17:31:10
416,Stay With Me (2022),SUB,2023-08-14 00:43:50
417,Silent Parade (2022),SUB,2023-08-11 00:05:46
418,Otona Najimi (2023),RAW,2023-08-11 00:04:43
419,Offbeat Cops (2022),RAW,2023-08-11 00:04:13
420,The Puppet (2023),SUB,2023-08-10 20:46:39
421,Ghost Book (2022),SUB,2023-08-10 20:46:20
422,Black Night Parade (2022),SUB,2023-08-10 20:45:15
423,Marry My Dead Body (2023),SUB,2023-08-10 06:50:50
424,Home for Rent (2023),SUB,2023-08-10 01:23:47
425,The White Storm 3: Heaven or Hell (2023),SUB,2023-08-09 18:42:42
426,Forbidden Zone (2023),SUB,2023-08-03 08:25:16
427,Zom 100: Bucket List of the Dead (2023),SUB,2023-08-03 08:24:32
428,Cicadas (2022),SUB,2023-07-30 23:34:13
429,Scamsgiving (2023),SUB,2023-07-30 08:38:55
430,The Childe (2023),SUB,2023-07-29 01:18:49
431,"Brats, Be Ambitious! (2023)",RAW,2023-07-28 17:34:25
432,The Murderer (2023),SUB,2023-07-27 20:01:19
433,Lady (2023),RAW,2023-07-27 18:40:51
434,Killing Romance (2023),SUB,2023-07-26 20:00:02
435,The Zen Diary (2022),SUB,2023-07-23 23:41:16
436,A Guilty Conscience (2023),SUB,2023-07-23 19:02:36
437,The Contorted House (2021),SUB,2023-07-20 18:25:18
438,Shin Kamen Rider (2023),SUB,2023-07-20 18:24:58
439,My Heart Puppy (2023),SUB,2023-07-20 08:55:49
440,Say Yes Again (2022),SUB,2023-07-19 15:40:38
441,White Snake (2019),SUB,2023-07-19 04:03:29
